,asin,title,max_aspect_word,sentiment,reviewText,summary,overall,compound_nouns,aspect_keywords
0,6665560953,You Son of a Bitch! 1987 Embroidered Patch,Exactly pictured,neu,1,1,1,1,1
1,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",small version,neu,1,1,1,1,1
2,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",small to fit,neu,1,1,1,1,1
3,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",small drawings,neu,1,1,1,1,1
4,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",running soon,neu,1,1,1,1,1
5,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",really likes,pos,1,1,1,1,1
6,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",read correctly,neu,1,1,1,1,1
7,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",quickly realised,neu,1,1,1,1,1
8,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",purchased instead,neu,1,1,1,1,1
9,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",outn there,neu,1,1,1,1,1
10,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",nice product,pos,1,1,1,1,1
11,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",mini moleksine notebooks,neu,1,1,1,1,1
12,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",liked much,neu,1,1,1,1,1
13,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",just use,neu,1,1,1,1,1
14,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",steer away,neu,1,1,1,1,1
15,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",just offer,neu,1,1,1,1,1
16,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",highly recommend,pos,1,1,1,1,1
17,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",helpful to use,pos,1,1,1,1,1
18,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",helpful stuff,pos,1,1,1,1,1
19,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",healthy veggies,neu,1,1,1,1,1
20,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",healthier life stile,pos,1,1,1,1,1
21,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",hard cover,neu,1,1,1,1,1
22,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",go online,neu,1,1,1,1,1
23,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",gladly give,pos,1,1,1,1,1
24,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",generic versions,neu,1,1,1,1,1
25,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",first product,neu,1,1,1,1,1
26,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",enough spaces,neu,1,1,1,1,1
27,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",enough room,neu,1,1,1,1,1
28,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",elastic closure,neu,1,1,1,1,1
29,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",inside print,neu,1,1,1,1,1
30,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",different type,neu,1,1,1,1,1
31,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",trademarked wellness journal,pos,1,1,1,1,1
32,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",very many details,neu,1,1,1,1,1
33,8862937628,Moleskine Le Petit Prince Plain Pocket,nice additions,neu,1,1,1,1,1
34,8862937628,Moleskine Le Petit Prince Plain Pocket,last year,neu,1,1,1,1,1
35,8862937628,Moleskine Le Petit Prince Plain Pocket,just wish,neu,1,1,1,1,1
36,8862937628,Moleskine Le Petit Prince Plain Pocket,drew before,neu,1,1,1,1,1
37,8862937628,Moleskine Le Petit Prince Plain Pocket,Great product,pos,1,1,1,1,1
38,8862936508,Moleskine Folio Professional Stick Notes - Full Color: 18 Packs of 20 Stick Notes: 360 Stick Notes,work well,neu,1,1,1,1,1
39,8862936508,Moleskine Folio Professional Stick Notes - Full Color: 18 Packs of 20 Stick Notes: 360 Stick Notes,whenever need,neu,1,1,1,1,1
40,8862936508,Moleskine Folio Professional Stick Notes - Full Color: 18 Packs of 20 Stick Notes: 360 Stick Notes,sticky notes,neu,1,1,1,1,1
41,8862936508,Moleskine Folio Professional Stick Notes - Full Color: 18 Packs of 20 Stick Notes: 360 Stick Notes,sided tape,neu,1,1,1,1,1
42,8862936508,Moleskine Folio Professional Stick Notes - Full Color: 18 Packs of 20 Stick Notes: 360 Stick Notes,got ago,neu,1,1,1,1,1
43,8862936508,Moleskine Folio Professional Stick Notes - Full Color: 18 Packs of 20 Stick Notes: 360 Stick Notes,functional use,neu,1,1,1,1,1
44,8862936508,Moleskine Folio Professional Stick Notes - Full Color: 18 Packs of 20 Stick Notes: 360 Stick Notes,fall constantly,neu,1,1,1,1,1
45,8862936508,Moleskine Folio Professional Stick Notes - Full Color: 18 Packs of 20 Stick Notes: 360 Stick Notes,dull white,neu,1,1,1,1,1
46,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",useful tool,neu,1,1,1,1,1
47,8862936508,Moleskine Folio Professional Stick Notes - Full Color: 18 Packs of 20 Stick Notes: 360 Stick Notes,different size,neu,1,1,1,1,1
48,8862935625,Moleskine Limited Edition: Pac-Man Gift Set Volant Large,when found,neu,1,1,1,1,1
49,8862935625,Moleskine Limited Edition: Pac-Man Gift Set Volant Large,perfect light,neu,1,1,1,1,1
50,8862935625,Moleskine Limited Edition: Pac-Man Gift Set Volant Large,love much,neu,1,1,1,1,1
51,8862935625,Moleskine Limited Edition: Pac-Man Gift Set Volant Large,little gift,neu,1,1,1,1,1
52,8862935625,Moleskine Limited Edition: Pac-Man Gift Set Volant Large,limited edition,neg,1,1,1,1,1
53,8862935625,Moleskine Limited Edition: Pac-Man Gift Set Volant Large,great stickers,pos,1,1,1,1,1
54,8862935625,Moleskine Limited Edition: Pac-Man Gift Set Volant Large,eventually sell,neu,1,1,1,1,1
55,8862935625,Moleskine Limited Edition: Pac-Man Gift Set Volant Large,even come,neu,1,1,1,1,1
56,8862935625,Moleskine Limited Edition: Pac-Man Gift Set Volant Large,Thin pages,neu,1,1,1,1,1
57,8862933185,"Moleskine Passion Journal Hard Cover Notebook, Wellness, Large (5&quot; x 8.25&quot;) - Passion Journal for Wellness Journaling, Wellness Book with Tab Organization, Track Healthy Lifestyle Goals",works better,neu,1,1,1,1,1
